COURSE CODE,COURSE TITLE,ELECTIVE OR NOT,FULLSEM OR HALFSEM,BATCH_REAL,NO. OF STUDENTS,SLOT NAME
EC456,Reinforcement learning,YES,fullsem,ALL-4TH YEAR,200,ELECTIVE-1
DS401,Health Care Data Analytics,YES,fullsem,ALL-4TH YEAR,93,ELECTIVE-1
EC462,Generative AI,YES,fullsem,ALL-4TH YEAR,100,ELECTIVE-2
EC465,Hands on CMOS Analog and RF circuit design,YES,fullsem,ALL-4TH YEAR,93,ELECTIVE-2
PH454,Quantum (AI+Gen AI),YES,fullsem,ALL-4TH YEAR,100,ELECTIVE-2
CS457,DevOps and its Applications,YES,fullsem,ALL-4TH YEAR,60,ELECTIVE-3
DS458,Agentic AI,YES,fullsem,ALL-4TH YEAR,64,ELECTIVE-3
CS468,Information Retrieval,YES,fullsem,ALL-4TH YEAR,40,ELECTIVE-3
CS473,Cloud SRE and Security,YES,fullsem,ALL-4TH YEAR,55,ELECTIVE-3
New,Software Defined Networks,YES,fullsem,ALL-4TH YEAR,74,ELECTIVE-3
CS470,AI for cybersecurity,YES,fullsem,ALL-4TH YEAR,82,ELECTIVE-4
DS102,Finance and Accounting,YES,fullsem,ALL-4TH YEAR,65,ELECTIVE-4
MA452,Operation Research,YES,fullsem,ALL-4TH YEAR,46,ELECTIVE-4
EC463,Energy Efficient Neural Networks,YES,fullsem,ALL-4TH YEAR,100,ELECTIVE-4
CS309,Statistics for Computer Science,NO,fullsem,3CSEA,141,SCS
CS303,Computer Networks,NO,fullsem,3CSEA,141,CN
CS304,Artificial Intelligence,NO,fullsem,3CSEA,141,AI
HS101,Environmental Studies,NO,fullsem,3CSEA,141,ES
CS463,Parallel computing,YES,fullsem,ALL-3RD YEAR,62,ELECTIVE-1
CS308,Compiler Design,YES,fullsem,ALL-3RD YEAR,64,ELECTIVE-1
DS301,Graphs and Scoial Network,YES,fullsem,ALL-3RD YEAR,70,ELECTIVE-1
CS366,Advanced Algorithm Design,YES,fullsem,ALL-3RD YEAR,93,ELECTIVE-1
DS359,Full Stack Development,YES,fullsem,ALL-3RD YEAR,54,ELECTIVE-2
EC355,Internet of Things,YES,fullsem,ALL-3RD YEAR,52,ELECTIVE-2
EC364,Semiconductor Device Modeling,YES,fullsem,ALL-3RD YEAR,60,ELECTIVE-2
CS352,Cryptography & Information Security,YES,fullsem,ALL-3RD YEAR,61,ELECTIVE-2
EC365,AI in Biomedical Signal Interpretation,YES,fullsem,ALL-3RD YEAR,62,ELECTIVE-2
CS309,Statistics for Computer Science,NO,fullsem,3CSEB,141,SCS
CS303,Computer Networks,NO,fullsem,3CSEB,141,CN
CS304,Artificial Intelligence,NO,fullsem,3CSEB,141,AI
HS101,Environmental Studies,NO,fullsem,3CSEB,141,ES
DS302,"Computer Communication
Networks",NO,Fullsem,3DSAI,82,CCN
DS303,"Algorithms and Artificial
Intelligence",NO,Fullsem,3DSAI,82,AAI
CS307,Machine Learning,NO,Fullsem,3DSAI,82,ML
,Digital signal processing ,NO,Full sem,3ECE,66,DSP
,Introduction to VLSL Design ,NO,Full sem,3ECE,66,IVD
,Introduction to Alogrithms ,NO,Full sem,3ECE,66,IA
,Happiness & Wellbeing ,NO,Full sem,3ECE,66,HW
MA261,Differential Equations,NO,,2-CSE,170,DE
MA262,Multivariate Calculus,NO,,2-CSE,170,MC
CS261,Operating system,NO,,2CSE-A,84,OS
CS262,Software design tools and techniques,NO,,2CSE-A,170,SDTT
